Position,Date,Team,Inning,Batter,Batter_hand,Bounds,Start_area,Catch_area,Catch_pos,Backhand,Throw_area,Throw_to,Throw_time,Throw_direction,Throw_pos,Catch_success,Throw_success,Situation,Note_1,Note_2
유격수,2023.4.1,삼성,3,피렐라,우,2,3유간흙,3유간흙,무릎,No,,,,,,실패,,포구실책,숏바운드처리미스,
유격수,2023.4.1,삼성,7,피렐라,우,2,3유간흙,3유간흙,허리,No,3유간흙,2루,0.95,정면,가슴,성공,성공,병살타,,
유격수,2023.4.1,삼성,8,김태군,우,0,유격수정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.5,정면,가슴,성공,성공,병살타,,
유격수,2023.4.1,삼성,1,구자욱,좌,2,유격수정면,유격수정면,가슴,No,유격수정면,1루,0.6,왼쪽,얼굴,성공,성공,땅볼,,
유격수,2023.4.1,삼성,3,강한울,우,0,유격수정면,2루베이스앞,허리,No,,,,,,성공,,땅볼,,
유격수,2023.4.1,삼성,6,이재현,우,3,3유간흙,3유간흙,발목,No,3유간흙,1루,1.13,정면,발목,성공,성공,땅볼,숏바운드처리,
유격수,2023.4.1,삼성,3,,,0,유격수정면,2루베이스앞,얼굴,No,,,,,,성공,,도루저지,,
유격수,2023.4.2,삼성,1,피렐라,우,3,유격수정면,유격수정면,발목,No,유격수정면,2루,0.55,정면,가슴,성공,성공,병살타,숏바운드처리,
유격수,2023.4.2,삼성,6,김지찬,좌,0,유격수정면,2루베이스앞,얼굴,Yes,2루베이스앞,1루,0.7,오른쪽,가슴,성공,성공,땅볼,,
유격수,2023.4.4,두산,6,,,0,2루베이스앞,2루베이스앞,가슴,No,,,,,,성공,,런다운아웃,,
유격수,2023.4.4,두산,3,로하스,좌,0,유격수정면,외야,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.4,두산,3,정수빈,좌,2,유격수정면,유격수정면,발목,No,유격수정면,1루,1.2,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.4,두산,8,로하스,좌,2,2루베이스뒤,2루베이스뒤,가슴,No,2루베이스뒤,1루,0.75,정면,허리,성공,성공,땅볼,시프트,
유격수,2023.4.4,두산,5,,,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,도루저지,,
유격수,2023.4.5,두산,1,허경민,우,0,유격수정면,유격수정면,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.5,두산,3,로하스,우,0,유격수정면,2루베이스뒤,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.5,두산,1,양의지,우,6,유격수정면,2루베이스뒤,발목,No,,,,,,성공,,내야안타,다이빙캐치,
유격수,2023.4.6,두산,3,로하스,좌,0,유격수정면,3루베이스뒤,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.7,키움,3,김준완,좌,1,유격수정면,유격수정면,가슴,No,유격수정면,2루,0.53,정면,얼굴,성공,성공,병살타,,
유격수,2023.4.7,키움,2,김태진,좌,3,유격수정면,유격수정면,발목,No,유격수정면,1루,1.03,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.7,키움,7,러셀,우,2,유격수정면,3유간흙,발목,No,3유간흙,1루,0.65,왼쪽,발목,성공,성공,땅볼,러닝스로,
유격수,2023.4.8,키움,5,러셀,우,3,3유간흙,2루베이스앞,발목,No,,,,,,실패,,포구실책,송구전환미스,
유격수,2023.4.8,키움,8,김혜성,좌,0,유격수정면,외야,머리위,Yes,,,,,,성공,,뜬공,,
유격수,2023.4.8,키움,2,이용규,좌,20,유격수정면,유격수정면,발목,No,유격수정면,2루,0.45,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.8,키움,4,김준완,좌,4,유격수정면,유격수정면,발목,No,유격수정면,1루,0.76,오른쪽,얼굴,성공,성공,땅볼,,
유격수,2023.4.8,키움,4,이형종,우,6,3유간흙,3유간흙,발목,No,3유간흙,2루,0.91,정면,허리,성공,성공,땅볼,,
유격수,2023.4.8,키움,7,김준완,좌,4,유격수정면,3유간흙,발목,No,3유간흙,1루,0.55,오른쪽,허리,성공,실패,내야안타,숏바운드송구실패,
유격수,2023.4.11,KT,1,강백호,좌,0,유격수정면,유격수정면,얼굴,No,2루베이스앞,1루,0.68,오른쪽,무릎,성공,성공,뜬공,,
유격수,2023.4.11,KT,4,황재균,우,0,유격수정면,외야,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.11,KT,5,김민혁,좌,0,유격수정면,외야,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.11,KT,5,박경수,우,3,유격수정면,3유간흙,발목,No,3유간흙,1루,1.48,정면,얼굴,성공,성공,땅볼,숏바운드처리,
유격수,2023.4.11,KT,8,강백호,좌,3,3유간흙,3유간흙,발목,No,유격수정면,1루,1.85,정면,가슴,성공,성공,땅볼,,
유격수,2023.4.11,KT,9,황재균,우,3,유격수정면,유격수정면,무릎,No,유격수정면,1루,0.71,왼쪽,가슴,성공,성공,땅볼,,
유격수,2023.4.12,KT,5,김상수,우,0,유격수정면,유격수정면,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.12,KT,1,장성우,우,6,유격수정면,3유간잔디,발목,No,3유간잔디,1루,1.06,왼쪽,발목,성공,성공,땅볼,,
유격수,2023.4.12,KT,6,황재균,우,2,유격수정면,3유간흙,가슴,No,3유간흙,2루,0.55,정면,무릎,성공,성공,땅볼,,
유격수,2023.4.12,KT,4,,,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,도루저지,,
유격수,2023.4.12,KT,1,강백호,좌,8,3유간흙,3루베이스앞,발목,No,,,,,,성공,,내야안타,,
유격수,2023.4.13,KT,8,김상수,우,1,외야,외야,발목,No,,,,,,실패,,포구실책,숏바운드처리미스,
유격수,2023.4.13,KT,7,장성우,우,0,유격수정면,유격수정면,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.13,KT,9,송민섭,우,0,유격수정면,외야,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.13,KT,4,김준태,좌,0,유격수정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.6,오른쪽,발목,성공,성공,땅볼,,
유격수,2023.4.13,KT,6,이상호,우,4,유격수정면,2루베이스뒤,발목,No,2루베이스뒤,1루,1.25,정면,얼굴,성공,성공,땅볼,터닝스로,
유격수,2023.4.13,KT,8,김민혁,좌,1,3유간잔디,3유간잔디,가슴,No,3유간잔디,1루,1.48,정면,얼굴,성공,성공,땅볼,전진수비,
유격수,2023.4.13,KT,8,박병호,우,2,유격수정면,3유간흙,가슴,No,3유간흙,1루,1.03,오른쪽,허리,성공,성공,땅볼,원바운드송구,
유격수,2023.4.13,KT,5,강백호,좌,3,유격수정면,3유간잔디,발목,Yes,3유간잔디,1루,1.32,정면,발목,성공,성공,내야안타,타구3유간통과저지,
유격수,2023.4.14,SSG,4,최주환,좌,4,2루베이스뒤,2루정면,발목,No,2루정면,1루,0.88,정면,얼굴,성공,성공,땅볼,시프트,
유격수,2023.4.14,SSG,8,김강민,우,2,유격수정면,유격수정면,가슴,No,유격수정면,1루,1.33,정면,허리,성공,성공,땅볼,,
유격수,2023.4.15,SSG,4,에레디아,우,4,유격수정면,유격수정면,발목,No,유격수정면,2루,0.5,정면,가슴,성공,성공,병살타,,
유격수,2023.4.15,SSG,5,김성현,우,4,유격수정면,유격수정면,발목,No,유격수정면,2루,0.56,정면,얼굴,성공,성공,병살타,,
유격수,2023.4.16,SSG,2,박성한,좌,20,유격수정면,3유간흙,발목,No,3유간흙,1루,0.75,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.16,SSG,6,오태곤,우,2,유격수정면,3유간잔디,허리,No,3유간잔디,1루,1.35,정면,발목,성공,성공,땅볼,저글후송구,
유격수,2023.4.18,LG,6,문보경,좌,2,유격수정면,유격수정면,발목,No,,,,,,실패,,포구실책,,
유격수,2023.4.18,LG,2,박동원,우,5,3유간흙,유격수정면,발목,No,2루베이스뒤,1루,1.2,오른쪽,발목,성공,성공,땅볼,,
유격수,2023.4.18,LG,3,홍창기,좌,5,유격수정면,2루베이스뒤,발목,No,2루베이스뒤,1루,0.9,왼쪽,무릎,성공,성공,땅볼,,
유격수,2023.4.18,LG,6,김민성,우,2,유격수정면,유격수정면,가슴,No,유격수정면,1루,1.14,정면,발목,성공,성공,땅볼,,
유격수,2023.4.18,LG,5,문성주,좌,3,유격수정면,2루베이스뒤,발목,No,2루베이스뒤,1루,1.71,오른쪽,허리,성공,성공,내야안타,다이빙캐치,
유격수,2023.4.18,LG,6,,,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,견제아웃,,
유격수,2023.4.19,LG,5,,,1,유격수정면,2루베이스앞,발목,Yes,,,,,,실패,,포수송구실책,숏바운드처리미스,
유격수,2023.4.19,LG,6,서건창,좌,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,병살타,,
유격수,2023.4.19,LG,1,홍창기,좌,4,유격수정면,유격수정면,발목,No,2루베이스뒤,1루,1.21,왼쪽,허리,성공,성공,땅볼,,
유격수,2023.4.19,LG,5,문성주,좌,3,유격수정면,유격수정면,발목,No,유격수정면,1루,1.35,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.19,LG,6,김민성,우,6,유격수정면,유격수정면,무릎,No,유격수정면,1루,1.47,정면,가슴,성공,성공,땅볼,,
유격수,2023.4.19,LG,4,,,0,유격수정면,2루베이스앞,얼굴,No,,,,,,성공,,도루저지,,
유격수,2023.4.19,LG,8,,,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,도루저지,,
유격수,2023.4.20,LG,6,김민성,우,0,유격수정면,유격수정면,가슴,No,,,,,,성공,,직선타,,
유격수,2023.4.20,LG,2,홍창기,좌,0,유격수정면,파울라인밖,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.20,LG,6,문성주,좌,2,유격수정면,유격수정면,발목,No,유격수정면,1루,1.66,정면,머리위,성공,성공,땅볼,,
유격수,2023.4.20,LG,7,정주현,우,6,유격수정면,3유간흙,발목,No,3유간흙,2루,0.7,정면,가슴,성공,성공,땅볼,,
유격수,2023.4.20,LG,5,,,0,유격수정면,2루베이스앞,무릎,No,,,,,,성공,,도루저지,,
유격수,2023.4.21,롯데,3,한동희,우,0,유격수정면,유격수정면,머리위,No,,,,,,성공,,직선타,포구미스후캐치,
유격수,2023.4.21,롯데,4,안권수,좌,1,유격수정면,유격수정면,허리,Yes,유격수정면,1루,0.96,오른쪽,허리,성공,실패,송구실책,숏바운드송구미스,
유격수,2023.4.21,롯데,1,전준우,우,2,유격수정면,3유간흙,가슴,No,3유간흙,2루,0.55,정면,얼굴,성공,성공,병살타,,
유격수,2023.4.21,롯데,3,김민석,좌,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,병살타,,
유격수,2023.4.21,롯데,8,고승민,좌,0,유격수정면,2루베이스앞,얼굴,No,2루베이스앞,1루,0.63,정면,얼굴,성공,성공,병살타,,
유격수,2023.4.21,롯데,7,안치홍,우,4,유격수정면,유격수정면,발목,No,유격수정면,1루,1.24,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.21,롯데,8,렉스,좌,1,2루베이스뒤,2루베이스뒤,발목,Yes,2루베이스뒤,1루,1.39,정면,머리위,성공,성공,땅볼,시프트,
유격수,2023.4.22,롯데,3,전준우,우,1,3유간흙,유격수정면,가슴,Yes,,,,,,실패,,포구실책,불규칙바운드,
유격수,2023.4.22,롯데,8,박승욱,좌,0,유격수정면,2루베이스앞,허리,Yes,,,,,,성공,,병살타,,
유격수,2023.4.22,롯데,5,유강남,우,1,3유간흙,3유간흙,허리,Yes,3유간흙,1루,1,왼쪽,허리,성공,성공,땅볼,,
유격수,2023.4.22,롯데,9,유강남,우,3,유격수정면,3유간흙,발목,No,3유간흙,1루,1.27,오른쪽,무릎,성공,성공,땅볼,숏바운드처리,
유격수,2023.4.22,롯데,4,,,0,유격수정면,2루베이스앞,가슴,Yes,,,,,,성공,,도루허용,,
유격수,2023.4.23,롯데,9,전준우,우,20,유격수정면,3유간흙,발목,No,3유간잔디,1루,0.64,오른쪽,발목,성공,실패,송구실책,숏바운드송구미스,
유격수,2023.4.23,롯데,8,안권수,좌,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,병살타,,
유격수,2023.4.23,롯데,8,정훈,우,3,유격수정면,3유간흙,발목,No,3유간흙,1루,1.23,정면,가슴,성공,성공,땅볼,,
유격수,2023.4.23,롯데,9,안치홍,우,1,유격수정면,3유간흙,무릎,Yes,,,,,,성공,,내야안타,다이빙캐치,
2루수,2023.4.25,기아,8,이우성,우,0,2루정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.59,정면,얼굴,성공,성공,병살타,,
유격수,2023.4.25,기아,5,주효상,좌,2,유격수정면,유격수정면,무릎,No,유격수정면,1루,0.82,정면,얼굴,성공,성공,땅볼,,
2루수,2023.4.25,기아,7,김선빈,우,4,2루정면,2루정면,발목,No,2루정면,1루,0.84,정면,허리,성공,성공,땅볼,,
2루수,2023.4.25,기아,9,김호령,우,0,2루정면,2루베이스앞,가슴,No,,,,,,성공,,땅볼,,
유격수,2023.4.25,기아,5,,,0,유격수정면,2루베이스앞,얼굴,No,,,,,,성공,,도루허용,,
유격수,2023.4.26,기아,4,주효상,좌,0,3유간흙,유격수정면,얼굴,No,,,,,,성공,,뜬공,,
유격수,2023.4.26,기아,7,황대인,우,0,유격수정면,외야,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.4.27,기아,8,소크라테스,좌,5,유격수정면,2루베이스앞,발목,No,2루베이스앞,1루,1,정면,무릎,성공,성공,병살타,,
유격수,2023.4.27,기아,3,한승택,우,3,유격수정면,유격수정면,발목,No,유격수정면,1루,1.5,정면,무릎,성공,성공,땅볼,,
유격수,2023.4.27,기아,4,김선빈,우,3,유격수정면,유격수정면,발목,No,유격수정면,1루,0.64,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.27,기아,7,김규성,좌,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,땅볼,,
유격수,2023.4.28,한화,2,최재훈,우,0,유격수정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.73,정면,얼굴,성공,성공,병살타,,
유격수,2023.4.28,한화,1,노시환,우,3,유격수정면,외야,가슴,Yes,외야,1루,1.1,왼쪽,발목,성공,성공,땅볼,,
유격수,2023.4.28,한화,8,채은성,우,3,유격수정면,3유간흙,무릎,No,3유간흙,2루,1.13,정면,가슴,성공,성공,땅볼,터닝스로,
유격수,2023.4.28,한화,9,오선진,우,3,유격수정면,2루베이스뒤,발목,No,2루베이스뒤,2루,0.55,정면,얼굴,성공,성공,땅볼,숏바운드처리,
유격수,2023.4.28,한화,4,,,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,도루저지,,
유격수,2023.4.29,한화,3,노수광,좌,0,3유간흙,3루베이스앞,얼굴,No,3루베이스앞,2루,0.43,정면,허리,성공,성공,병살타,번트수비,
유격수,2023.4.29,한화,9,정은원,좌,0,유격수정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.85,정면,얼굴,성공,성공,병살타,,
유격수,2023.4.29,한화,7,박상언,우,7,유격수정면,2루베이스뒤,발목,No,2루베이스뒤,1루,1,정면,발목,성공,성공,땅볼,,
유격수,2023.4.29,한화,6,,,1,유격수정면,2루베이스앞,허리,Yes,,,,,,성공,,도루허용,,
유격수,2023.4.30,한화,1,이진영,우,3,유격수정면,2루베이스뒤,무릎,No,2루베이스뒤,1루,1.1,오른쪽,얼굴,성공,성공,땅볼,,
유격수,2023.4.30,한화,2,채은성,우,4,3유간흙,3유간흙,발목,No,3유간흙,1루,1.34,오른쪽,얼굴,성공,성공,땅볼,숏바운드처리,
유격수,2023.4.30,한화,3,오선진,우,4,유격수정면,3유간흙,발목,No,3유간흙,1루,1.25,왼쪽,발목,성공,성공,땅볼,,
유격수,2023.4.30,한화,8,이진영,우,3,유격수정면,3유간흙,무릎,No,3유간흙,1루,1.23,정면,얼굴,성공,성공,땅볼,,
유격수,2023.4.30,한화,9,채은성,우,4,3유간흙,3유간흙,발목,No,3유간흙,1루,0.73,정면,무릎,성공,성공,땅볼,,
유격수,2023.5.2,LG,6,김민성,우,0,유격수정면,2루베이스뒤,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.5.2,LG,1,오스틴,우,1,유격수정면,유격수정면,발목,No,유격수정면,2루,0.94,정면,얼굴,성공,성공,땅볼,숏바운드처리,
유격수,2023.5.2,LG,3,오스틴,우,2,유격수정면,유격수정면,허리,No,유격수정면,2루,0.31,정면,얼굴,성공,성공,땅볼,,
유격수,2023.5.2,LG,4,박동원,우,5,3유간흙,3유간흙,발목,Yes,3유간흙,2루,0.75,오른쪽,무릎,성공,성공,땅볼,다이빙캐치,
유격수,2023.5.2,LG,7,박해민,좌,0,유격수정면,2루베이스앞,얼굴,No,,,,,,성공,,땅볼,,
유격수,2023.5.2,LG,8,,,0,유격수정면,2루베이스앞,얼굴,No,,,,,,성공,,도루저지,,
유격수,2023.5.3,LG,5,문성주,좌,0,유격수정면,외야,머리위,Yes,,,,,,실패,,포구실책,뜬공처리미스,
유격수,2023.5.3,LG,5,홍창기,좌,0,유격수정면,2루베이스앞,얼굴,No,2루베이스앞,1루,0.63,정면,가슴,성공,성공,병살타,,
유격수,2023.5.9,KT,5,이시원,좌,0,유격수정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.53,정면,무릎,성공,성공,땅볼,,
유격수,2023.5.9,KT,6,박경수,우,2,유격수정면,유격수정면,발목,No,2루베이스뒤,1루,0.73,왼쪽,무릎,성공,성공,땅볼,,
유격수,2023.5.9,KT,6,손민석,좌,0,2루베이스뒤,2루베이스앞,얼굴,No,,,,,,성공,,땅볼,,
2루수,2023.5.9,KT,7,이시원,좌,0,2루정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.52,왼쪽,가슴,성공,성공,땅볼,,
2루수,2023.5.9,KT,9,김병희,우,0,2루정면,2루베이스앞,가슴,No,,,,,,성공,,땅볼,,
유격수,2023.5.10,KT,4,알포드,우,6,유격수정면,3유간흙,발목,No,3유간흙,2루,0.51,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.10,KT,4,박경수,우,1,3유간흙,3유간흙,발목,Yes,3유간흙,1루,1.35,정면,무릎,성공,성공,땅볼,숏바운드처리,
유격수,2023.5.11,KT,1,알포드,우,5,유격수정면,유격수정면,발목,No,유격수정면,2루,0.46,정면,가슴,성공,성공,병살타,언더토스,
유격수,2023.5.11,KT,6,손민석,좌,2,2루베이스뒤,2루베이스뒤,발목,No,2루베이스뒤,1루,0.73,정면,무릎,성공,성공,땅볼,시프트,
유격수,2023.5.11,KT,6,알포드,우,4,유격수정면,2루베이스뒤,발목,No,2루베이스뒤,1루,1.08,오른쪽,무릎,성공,성공,땅볼,다이빙캐치,
유격수,2023.5.11,KT,9,장성우,우,5,유격수정면,유격수정면,발목,No,유격수정면,1루,1.44,정면,허리,성공,성공,땅볼,,
유격수,2023.5.12,키움,6,김동헌,우,0,유격수정면,2루베이스앞,머리위,No,,,,,,실패,,포구실책,주자와부딪침,
유격수,2023.5.12,키움,1,박찬혁,우,0,유격수정면,2루베이스앞,머리위,No,2루베이스앞,1루,0.71,정면,무릎,성공,성공,땅볼,병살타실패땅볼,
유격수,2023.5.12,키움,2,김동헌,우,1,유격수정면,3유간흙,발목,No,3유간흙,2루,0.45,오른쪽,가슴,실패,성공,땅볼,고의낙구,
유격수,2023.5.12,키움,3,이원석,우,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,땅볼,,
유격수,2023.5.12,키움,5,이원석,우,3,유격수정면,3유간흙,발목,No,3유간흙,2루,0.57,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.12,키움,6,임지열,우,3,유격수정면,3유간흙,발목,No,3유간흙,1루,1.25,정면,허리,성공,성공,땅볼,,
유격수,2023.5.13,키움,3,러셀,우,0,유격수정면,외야,머리위,No,외야,홈,0.7,정면,발목,성공,성공,중계,외야중계플레이,
유격수,2023.5.13,키움,5,이원석,우,0,유격수정면,2루베이스앞,머리위,No,2루베이스앞,1루,0.69,왼쪽,머리위,성공,성공,병살타,,
유격수,2023.5.13,키움,4,박준태,좌,1,유격수정면,유격수정면,얼굴,No,유격수정면,2루,1.12,정면,얼굴,성공,성공,땅볼,,
유격수,2023.5.14,키움,9,이형종,우,0,3유간흙,외야파울지역,머리위,No,,,,,,성공,,뜬공,,
유격수,2023.5.14,키움,1,이원석,우,1,유격수정면,유격수정면,무릎,No,유격수정면,2루,1.27,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.14,키움,5,박찬혁,우,3,유격수정면,유격수정면,발목,No,유격수정면,1루,1.7,왼쪽,허리,성공,성공,땅볼,,
유격수,2023.5.14,키움,2,,,0,2루베이스뒤,2루베이스앞,얼굴,No,,,,,,실패,,도루허용,포수송구미스,
유격수,2023.5.16,SSG,3,오태곤,우,0,유격수정면,유격수정면,얼굴,No,,,,,,성공,,직선타,점프캐치,
유격수,2023.5.16,SSG,9,한유섬,좌,0,2루정면,2루베이스앞,가슴,No,,,,,,성공,,병살타,시프트,
유격수,2023.5.17,SSG,3,최정,우,0,3유간흙,3유간흙,가슴,No,,,,,,성공,,직선타,,
유격수,2023.5.17,SSG,5,박성한,좌,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,주루사,,
유격수,2023.5.19,삼성,7,김현준,좌,1,유격수정면,유격수정면,무릎,No,,,,,,실패,,안타,바운드처리미스,
유격수,2023.5.19,삼성,3,오재일,좌,0,3유간흙,외야파울지역,머리위,No,,,,,,성공,,뜬공,,
